12/6/11,60.51333333
12/7/11,52.40985915
12/8/11,40.28928571
12/9/11,44.65384615
12/10/11,39.375
12/11/11,34.475
12/12/11,38.16666667
12/13/11,39.47083333
12/14/11,44.67931034
12/15/11,53.55833333
12/16/11,47.3
12/17/11,36.23888889
12/18/11,27.5625
12/19/11,40.512
12/20/11,44.33076923
12/21/11,52.54358974
12/22/11,53.59583333
12/23/11,45.32439024
12/24/11,32.425
12/25/11,39.94583333
12/26/11,41.8875
12/27/11,49.31904762
12/28/11,40.19565217
12/29/11,30.79166667
12/30/11,45.31666667
12/31/11,50.525
1/1/12,47.64583333
1/2/12,38.94583333
1/3/12,24.97916667
1/4/12,20.68695652
1/5/12,33.40869565
1/6/12,44.80833333
1/7/12,52.99583333
1/8/12,-360.736
1/9/12,35.55416667
1/10/12,40.36086957
1/11/12,42.35862069
1/12/12,43.19607843
1/13/12,38.30285714
1/14/12,29.62916667
1/15/12,20.00416667
1/16/12,26.48333333
1/17/12,42.19444444
1/18/12,36.78333333
1/19/12,28.73333333
1/20/12,29.4826087
1/21/12,-188.2787234
1/22/12,26.32222222
1/23/12,43.10588235
1/24/12,47.55666667
1/25/12,39.64347826
1/26/12,36.93225806
1/27/12,49.652
1/28/12,40.78
1/29/12,39.17916667
1/30/12,37.04166667
1/31/12,55.1
2/1/12,55.09583333
2/2/12,-359.552
2/3/12,37.12173913
2/4/12,41.0625
2/5/12,35.25
2/6/12,41.58333333
2/7/12,42.7875
2/8/12,32.975
2/9/12,36.916
2/10/12,-362.328
2/11/12,34.83846154
2/12/12,27.57407407
2/13/12,35.80454545
2/14/12,41.15416667
2/15/12,42.45714286
2/16/12,-238.1583333
2/17/12,44.98709677
2/18/12,40.73461538
2/19/12,38.95416667
2/20/12,37.18333333
2/21/12,40.45833333
2/22/12,49.29583333
2/23/12,51.0375
2/24/12,40.19333333
2/25/12,39.94782609
2/26/12,35.38214286
2/27/12,46.31428571
2/28/12,43.104
2/29/12,39.44318182
3/1/12,38.96052632
3/2/12,37.47083333
3/3/12,47.98214286
3/4/12,40.70833333
3/5/12,35.40416667
3/6/12,34.37083333
3/7/12,49.81666667
3/8/12,61.175
3/9/12,43.72692308
3/10/12,36.02083333
3/11/12,47.725
3/12/12,57.0125
3/13/12,63.67083333
3/14/12,63.73913043
3/15/12,46.28928571
3/16/12,46.17419355
3/17/12,51.94333333
3/18/12,50.8862069
3/19/12,63.05454545
3/20/12,61.11190476
3/21/12,59.38596491
3/22/12,61.68
3/23/12,66.0875
3/24/12,57.9125
3/25/12,47.85666667
3/26/12,47.736
3/27/12,40.74583333
3/28/12,54.77916667
3/29/12,51.37826087
3/30/12,-355.444
3/31/12,-474.4461538
4/1/12,46.04857143
4/2/12,47.275
4/3/12,52.25416667
4/4/12,58.65416667
4/5/12,48.87083333
4/6/12,47.33043478
4/7/12,50.49583333
4/8/12,55.92083333
4/9/12,55.7625
4/10/12,52.49166667
4/11/12,47.40833333
4/12/12,50.7375
4/13/12,54.05652174
4/14/12,61.40833333
4/15/12,67.88461538
