459 LINDEN BOULEVARD,N/A,4
613 MADISON STREET,11221,2
2909 AVENUE D,11226,3
148 HANCOCK STREET,N/A,1
325 BRISTOL STREET,11212,5
336 21 STREET,11215,1
821 AVENUE N,11230,3
855 OCEAN AVENUE,N/A,2
336 64 STREET,11220,5
337 GRAFTON STREET,11212,5
269 FOUNTAIN AVENUE,11208,3
930 HART STREET,11237,2
638 WILSON AVENUE,11207,5
519 THROOP AVENUE,11221,3
297 SHEPHERD AVENUE,11208,1
7204 13 AVENUE,11228,2
163 HALSEY STREET,11216,1
8201 4 AVENUE,11209,17
2783 ATLANTIC AVENUE,11207,5
202 EAST   91 STREET,11212,16
47 BRIGHTON 10 COURT,N/A,1
191 EAST   17 STREET,11226,1
1615 WEST 10 STREET,11223,1
2054 NOSTRAND AVENUE,11210,216
1417 44 STREET,11219,4
973 SCHENECTADY AVENUE,11203,15
358 CRESCENT STREET,11208,2
4619 NEW UTRECHT AVENUE,11219,2
48 BAY 47 STREET,11214,1
566 MORGAN AVENUE,11222,1
1777 EASTERN PARKWAY,N/A,2
616 EAST 37 STREET,11203,1
440 LOGAN STREET,11208,1
9935 3 AVENUE,11209,2
149 STERLING STREET,11225,1
709 MAC DONOUGH STREET,11233,1
631 EAST 80 STREET,11236,1
981 PUTNAM AVENUE,11221,3
5721 5 AVENUE,11220,1
504 MILFORD STREET,11208,1
442 THROOP AVENUE,11221,1
2787 BATCHELDER STREET,11235,2
4501 5 AVENUE,11220,33
487 LINCOLN PLACE,11238,2
1629 66 STREET,11204,1
219 LEWIS AVENUE,11221,2
1490 FLATBUSH AVENUE,11210,2
309 GOLD STREET,11201,1
180 MILFORD STREET,11208,2
1525 DE KALB AVENUE,11237,1
1555 NOSTRAND AVENUE,N/A,8
452 68 STREET,N/A,1
446 KINGSTON AVENUE,N/A,2
55 PARADE PLACE,11226,27
712 CROWN STREET,11213,421
1685 CARROLL STREET,11213,2
222 BAY 34 STREET,11214,1
198 NORMAN AVENUE,11222,1
669 EAST 31 STREET,11210,1
3115 SNYDER AVENUE,11226,16
1113 EAST 34 STREET,11210,8
431 EASTERN PARKWAY,11216,11
621 FLATBUSH AVENUE,11225,5
450 EUCLID AVENUE,11208,11
463 WILSON AVENUE,N/A,1
1703 EAST 14 STREET,11229,24
453 HALSEY STREET,11233,1
1778 BERGEN STREET,11233,1
26 BAY 7 STREET,11228,3
1718 DAHILL ROAD,11223,1
